goods_no,title,rating,content,author,date
126665053,유형+내신 고쟁이 공통수학1 (2026년용),10,학원에서 교재로 준비하라고 해서 구입했습니다책표지도 이쁘고 문제집도 깔끔했습니다답지도 두툼하니 해설이 잘 되어 있는듯 했습니다..고등 수학은 어렵다 하는데아이가 잘 풀어서 수학실력이 많이 늘었으몃 좋겠습니다배송도 빠르고 교재 좋아요,j*****2,2025-12-05
126665053,유형+내신 고쟁이 공통수학1 (2026년용),10,공수1 개념후  유형문제집으로  풀려고 구매합니다모의고사 기출문제들이 제법 많더라구요  2단계가 쎈 be단계보다 조금 난해한 문제들이네요.  다른문제집보다 풀이과정 써내려갈 만한 공간이  있어 다행이라 생각합니다.  1단계부터 차분히 써내려 가야 겠습니다.,s***p,2025-12-05
126665053,유형+내신 고쟁이 공통수학1 (2026년용),10,고입 준비하는 아들의 수학 교재입니다. 고 1 수학 선행에서 이 책 사용하는데 문제가 꽤 까다롭습니다. 내신 수학에서 어려운 문제 대해보고 풀어내는 것 연습하는데 이 고쟁이만한게 없습니다. 어려운 고등 수학 준비하고 좋은 성적 받는데 효과 있길 기대해봅니다.,h*****g,2025-11-15
126665053,유형+내신 고쟁이 공통수학1 (2026년용),10,"최근 10년간 실제 고등학교 중간·기말고사에 출제된 2,000여 개 시험지를 분석하여 제작된 내신 대비 교재입니다. 내신에서 자주 출제되는 빈출 문제와 더불어 수능형 문제의 비중이 증가하는 최신 내신 트렌드를 반영하였습니다. 교과서 수준의 기본 문항부터 고난도 문항까지 모두 포함하고, 개념 정리를 통해 선수 학습과의 연결성을 보여줍니다.",m*******r,2025-11-08
126665053,유형+내신 고쟁이 공통수학1 (2026년용),10,"수학은 무엇보다 중요한 것이 수학의 원리에 대한 생각하는 힘과 연산입니다. 이 책은 이 두 가지를 모두 잡아주고 있는 교재라서 맘에 쏙 듭니다. 우선 개념을 설명하고 그 개념을 잘 이해하고 있는가를 문제를 통해서 확인합니다. 해설 역시 꼼꼼하게 이루어져있어서, 이해가 되지 않는 부분은 해설을 통해 이해할 수 있도록 꾸며져 있어서 감동받았습니다. 기본적인 개념과 이에 관한 문제 풀이에서 끝나는 것이 아니라, 사고력 부분을 건드려주는 문제도 함께 있어서, 수학의 힘을 진정으로 길러주는 교재라고 볼 수 있습니다. 이렇게 좋은 책이다보니 여러 학원에서도 교재로 채택하여 사용하고 있다는 것을 알 수 있습니다. 이 곳에서 정가보다 저렴한 가격에 구매할 수 있게 해주셔서 감사할 따름입니다. 열심히 풀고 또 다른 책 구매하러 오겠습니다. 감사합니다.",m****e,2025-11-06
126665053,유형+내신 고쟁이 공통수학1 (2026년용),10,"수학을 좋아하는 아이인지라 어려운 문제도 풀어보고 싶다고 해서 구입했습니다. step1,2,3,4...까지 있는거 같은데 1,2푸는데도 상당한 시간이 걸린다고 합니다. 어려운 문제가 있는걸로 유명한 책이니 각오는 했겠지요.",y*****y,2025-10-21
126665053,유형+내신 고쟁이 공통수학1 (2026년용),10,혼자 공부하는데 여러유형을 쉬운것부터 어려운것까지 연습할 수 있도록 되어있어요. 문제집 난이도는 꽤 있는데 여러번 풀면서 연습하기 좋은 교재인 것 같습니다. 내신대비와 여러유형 경험용 문제집으로 추천합니다. 혼공에도 좋았어요.,y******n,2025-09-25
126665053,유형+내신 고쟁이 공통수학1 (2026년용),10,심화 교재로 학원에서 구매 하였습니다. 약간 난이도가 있어서 쏀 보단 어렵지만 그래도 기본을 다지고 공부하기는 괜찮습니다.블랙라벨 가기 전에 교재로 한 번쯤 공부하는것도 좋아보입니다.다양항 문제가 있어서 선택하여 공부할 수도 있어서 좋으네요.,l*****5,2025-09-11
126665053,유형+내신 고쟁이 공통수학1 (2026년용),10,"중학생때부터 심화 직전 단계에서 항상 풀렸어요.유형에서 심화로 넘어가기 전에 풀게 했는데. 수월한 유형문제에서 어려운 심화, 신유형까지 다양한 문제를 풀어 볼 수 있어 좋은 교재입니다.스키마라는 풀이방법을 따라가면서 사고력도 키울수 있어요.",p******7,2025-09-11
126665053,유형+내신 고쟁이 공통수학1 (2026년용),10,매번 쎈과 개념수학만 풀다가 고쟁이 역시 내신정리에 좋다는 글을 보고 복습에 이용하도록 구매하게 되었는데 문제가 다양하고 풀이가 자세히 되어있어 잘 모르던 내용들 정리하기에 수월할 듯 싶다.2학기가 시작되어 워밍업 하는 기분으로 1학기문제 후르륵 풀고 가기 좋을 듯.,j********9,2025-08-26
